"description","units","source key","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Pennsylvania : petroleum coke","dollars per tons","ELEC.COST.PC-PA-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"Pennsylvania : natural gas","dollars per mcf","ELEC.COST.NG-PA-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"East North Central",,"ELEC.COST..A",,,,,,,,,,,,
"East North Central : coal","dollars per tons","ELEC.COST.COW-ENC-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"East North Central : bituminous coal","dollars per tons","ELEC.COST.BIT-ENC-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"East North Central : subbituminous coal","dollars per tons","ELEC.COST.SUB-ENC-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"East North Central : lignite coal","dollars per tons","ELEC.COST.LIG-ENC-99.A","W","--","W","--","--","--","--","W","--","--","--","--"
"East North Central : petroleum liquids","dollars per barrels","ELEC.COST.PEL-ENC-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"East North Central : petroleum coke","dollars per tons","ELEC.COST.PC-ENC-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"East North Central : natural gas","dollars per mcf","ELEC.COST.NG-ENC-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"Illinois",,"ELEC.COST..A",,,,,,,,,,,,
"Illinois : coal","dollars per tons","ELEC.COST.COW-IL-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"Illinois : bituminous coal","dollars per tons","ELEC.COST.BIT-IL-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"Illinois : subbituminous coal","dollars per tons","ELEC.COST.SUB-IL-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"Illinois : lignite coal","dollars per tons","ELEC.COST.LIG-IL-99.A","--","--","--","--","--","--","--","W","--","--","--","--"
"Illinois : petroleum liquids","dollars per barrels","ELEC.COST.PEL-IL-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"Illinois : petroleum coke","dollars per tons","ELEC.COST.PC-IL-99.A","W","W","W","--","--","--","W","W","W","W","W","W"
"Illinois : natural gas","dollars per mcf","ELEC.COST.NG-IL-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"Indiana",,"ELEC.COST..A",,,,,,,,,,,,
"Indiana : coal","dollars per tons","ELEC.COST.COW-IN-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"Indiana : bituminous coal","dollars per tons","ELEC.COST.BIT-IN-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"Indiana : subbituminous coal","dollars per tons","ELEC.COST.SUB-IN-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"Indiana : lignite coal","dollars per tons","ELEC.COST.LIG-IN-99.A","W","--","--","--","--","--","--","--","--","--","--","--"
"Indiana : petroleum liquids","dollars per barrels","ELEC.COST.PEL-IN-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"Indiana : petroleum coke","dollars per tons","ELEC.COST.PC-IN-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"Indiana : natural gas","dollars per mcf","ELEC.COST.NG-IN-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"Michigan",,"ELEC.COST..A",,,,,,,,,,,,
"Michigan : coal","dollars per tons","ELEC.COST.COW-MI-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"Michigan : bituminous coal","dollars per tons","ELEC.COST.BIT-MI-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"Michigan : subbituminous coal","dollars per tons","ELEC.COST.SUB-MI-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"Michigan : lignite coal","dollars per tons","ELEC.COST.LIG-MI-99.A","--","--","W","--","--","--","--","--","--","--","--","--"
"Michigan : petroleum liquids","dollars per barrels","ELEC.COST.PEL-MI-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"Michigan : petroleum coke","dollars per tons","ELEC.COST.PC-MI-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"Michigan : natural gas","dollars per mcf","ELEC.COST.NG-MI-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"Ohio",,"ELEC.COST..A",,,,,,,,,,,,
"Ohio : coal","dollars per tons","ELEC.COST.COW-OH-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"Ohio : bituminous coal","dollars per tons","ELEC.COST.BIT-OH-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"Ohio : subbituminous coal","dollars per tons","ELEC.COST.SUB-OH-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"Ohio : lignite coal","dollars per tons","ELEC.COST.LIG-OH-99.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Ohio : petroleum liquids","dollars per barrels","ELEC.COST.PEL-OH-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"Ohio : petroleum coke","dollars per tons","ELEC.COST.PC-OH-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"Ohio : natural gas","dollars per mcf","ELEC.COST.NG-OH-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"Wisconsin",,"ELEC.COST..A",,,,,,,,,,,,
"Wisconsin : coal","dollars per tons","ELEC.COST.COW-WI-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"Wisconsin : bituminous coal","dollars per tons","ELEC.COST.BIT-WI-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"Wisconsin : subbituminous coal","dollars per tons","ELEC.COST.SUB-WI-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"Wisconsin : lignite coal","dollars per tons","ELEC.COST.LIG-WI-99.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Wisconsin : petroleum liquids","dollars per barrels","ELEC.COST.PEL-WI-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"Wisconsin : petroleum coke","dollars per tons","ELEC.COST.PC-WI-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"Wisconsin : natural gas","dollars per mcf","ELEC.COST.NG-WI-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"West North Central",,"ELEC.COST..A",,,,,,,,,,,,
"West North Central : coal","dollars per tons","ELEC.COST.COW-WNC-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"West North Central : bituminous coal","dollars per tons","ELEC.COST.BIT-WNC-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"West North Central : subbituminous coal","dollars per tons","ELEC.COST.SUB-WNC-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"West North Central : lignite coal","dollars per tons","ELEC.COST.LIG-WNC-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"West North Central : petroleum liquids","dollars per barrels","ELEC.COST.PEL-WNC-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"West North Central : petroleum coke","dollars per tons","ELEC.COST.PC-WNC-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"West North Central : natural gas","dollars per mcf","ELEC.COST.NG-WNC-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
"Iowa",,"ELEC.COST..A",,,,,,,,,,,,
"Iowa : coal","dollars per tons","ELEC.COST.COW-IA-99.A","W","W","W","W","W","W","W","W","W","W","W","W"
