"description","units","source key","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"New Jersey : residential","number of customers","ELEC.CUSTOMERS.NJ-RES.A",3409805,3430837,3454840,3457325,3455303,3461107,3470875,3489108,3510140,3536088,3568043,3596835
"New Jersey : commercial","number of customers","ELEC.CUSTOMERS.NJ-COM.A",469340,476355,478684,481662,489942,482105,511332,512893,514578,517403,521429,523795
"New Jersey : industrial","number of customers","ELEC.CUSTOMERS.NJ-IND.A",13392,13254,12960,12714,12728,12369,12313,12190,11928,11774,11876,11780
"New Jersey : transportation","number of customers","ELEC.CUSTOMERS.NJ-TRA.A",6,7,6,6,6,5,6,6,6,6,6,6
"New Jersey : other","number of customers","ELEC.CUSTOMERS.NJ-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"New York","number of customers","ELEC.CUSTOMERS.NY-ALL.A",,,,,,,,,,,,
"New York : all sectors","number of customers","ELEC.CUSTOMERS.NY-ALL.A",7937992,7959830,8001548,8031846,8057143,8076228,8100264,8141860,8199449,8241303,8304437,8364117
"New York : residential","number of customers","ELEC.CUSTOMERS.NY-RES.A",6897087,6916412,6954906,6987631,7010736,7027862,7046830,7079095,7118903,7144413,7190903,7235400
"New York : commercial","number of customers","ELEC.CUSTOMERS.NY-COM.A",1032104,1034830,1038254,1035988,1038262,1040401,1045565,1055128,1072893,1089887,1106644,1121102
"New York : industrial","number of customers","ELEC.CUSTOMERS.NY-IND.A",8778,8563,8364,8219,8140,7959,7863,7631,7646,6995,6882,7607
"New York : transportation","number of customers","ELEC.CUSTOMERS.NY-TRA.A",24,25,23,9,6,6,6,7,8,8,8,8
"New York : other","number of customers","ELEC.CUSTOMERS.NY-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Pennsylvania","number of customers","ELEC.CUSTOMERS.PA-ALL.A",,,,,,,,,,,,
"Pennsylvania : all sectors","number of customers","ELEC.CUSTOMERS.PA-ALL.A",5935584,5941962,5950349,5959646,5974105,5986815,6003980,6018884,6055012,6077867,6119109,6149653
"Pennsylvania : residential","number of customers","ELEC.CUSTOMERS.PA-RES.A",5231696,5235328,5244274,5249831,5261382,5272852,5289207,5304275,5335555,5356690,5390427,5418870
"Pennsylvania : commercial","number of customers","ELEC.CUSTOMERS.PA-COM.A",676337,679211,678767,684754,687747,689359,690546,690876,696078,698446,716936,716991
"Pennsylvania : industrial","number of customers","ELEC.CUSTOMERS.PA-IND.A",27537,27409,27293,25047,24962,24601,24222,23728,23373,22725,11740,13786
"Pennsylvania : transportation","number of customers","ELEC.CUSTOMERS.PA-TRA.A",14,14,16,15,14,4,5,6,6,6,6,6
"Pennsylvania : other","number of customers","ELEC.CUSTOMERS.PA-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"East North Central","number of customers","ELEC.CUSTOMERS.ENC-ALL.A",,,,,,,,,,,,
"East North Central : all sectors","number of customers","ELEC.CUSTOMERS.ENC-ALL.A",22049145,21982994,21984774,22024890,22055957,22133830,22215108,22310210,22462260,22600191,22736432,22858298
"East North Central : residential","number of customers","ELEC.CUSTOMERS.ENC-RES.A",19593684,19531944,19529895,19559833,19583328,19652121,19716396,19800506,19937968,20060548,20183541,20287078
"East North Central : commercial","number of customers","ELEC.CUSTOMERS.ENC-COM.A",2392685,2388229,2392070,2404117,2410813,2419550,2436540,2454766,2469319,2485506,2498933,2515631
"East North Central : industrial","number of customers","ELEC.CUSTOMERS.ENC-IND.A",62768,62813,62801,60932,61808,62152,62164,54930,54964,54129,53949,55580
"East North Central : transportation","number of customers","ELEC.CUSTOMERS.ENC-TRA.A",8,8,8,8,7,8,8,8,8,9,9,10
"East North Central : other","number of customers","ELEC.CUSTOMERS.ENC-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Illinois","number of customers","ELEC.CUSTOMERS.IL-ALL.A",,,,,,,,,,,,
"Illinois : all sectors","number of customers","ELEC.CUSTOMERS.IL-ALL.A",5691210,5656555,5654798,5682632,5694826,5723779,5751365,5781840,5844548,5881696,5911487,5943065
"Illinois : residential","number of customers","ELEC.CUSTOMERS.IL-RES.A",5098579,5074861,5070047,5089454,5098645,5120603,5145020,5172653,5231540,5264333,5289571,5314523
"Illinois : commercial","number of customers","ELEC.CUSTOMERS.IL-COM.A",586612,575798,578757,587333,590136,596676,600243,603186,606951,611666,616195,622802
"Illinois : industrial","number of customers","ELEC.CUSTOMERS.IL-IND.A",6015,5891,5990,5842,6042,6496,6099,5998,6054,5694,5718,5737
"Illinois : transportation","number of customers","ELEC.CUSTOMERS.IL-TRA.A",4,4,4,3,3,4,3,3,3,3,3,3
"Illinois : other","number of customers","ELEC.CUSTOMERS.IL-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Indiana","number of customers","ELEC.CUSTOMERS.IN-ALL.A",,,,,,,,,,,,
"Indiana : all sectors","number of customers","ELEC.CUSTOMERS.IN-ALL.A",3092378,3093305,3103294,3106400,3118565,3136350,3151458,3173539,3190274,3204014,3235835,3264625
"Indiana : residential","number of customers","ELEC.CUSTOMERS.IN-RES.A",2733127,2733610,2742783,2744889,2755594,2771254,2784660,2804861,2821547,2834090,2863350,2887031
"Indiana : commercial","number of customers","ELEC.CUSTOMERS.IN-COM.A",341153,341431,341715,343620,344448,346936,348689,350465,350642,352010,354722,358791
"Indiana : industrial","number of customers","ELEC.CUSTOMERS.IN-IND.A",18097,18263,18795,17890,18522,18159,18108,18212,18084,17914,17762,18803
"Indiana : transportation","number of customers","ELEC.CUSTOMERS.IN-TRA.A",1,1,1,1,1,1,1,1,1,1,1,1
"Indiana : other","number of customers","ELEC.CUSTOMERS.IN-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Michigan","number of customers","ELEC.CUSTOMERS.MI-ALL.A",,,,,,,,,,,,
"Michigan : all sectors","number of customers","ELEC.CUSTOMERS.MI-ALL.A",4821866,4787397,4778214,4783411,4784780,4798997,4808838,4821755,4855870,4893475,4914755,4934715
"Michigan : residential","number of customers","ELEC.CUSTOMERS.MI-RES.A",4290313,4253785,4245155,4249132,4250621,4265257,4273127,4282857,4311007,4344318,4365526,4384303
"Michigan : commercial","number of customers","ELEC.CUSTOMERS.MI-COM.A",518776,520548,520231,521317,521086,520323,522422,532857,538671,542961,543258,544686
"Michigan : industrial","number of customers","ELEC.CUSTOMERS.MI-IND.A",12776,13063,12827,12962,13071,13416,13287,6040,6191,6194,5969,5724
"Michigan : transportation","number of customers","ELEC.CUSTOMERS.MI-TRA.A",1,1,1,1,1,1,2,1,1,2,2,2
"Michigan : other","number of customers","ELEC.CUSTOMERS.MI-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Ohio","number of customers","ELEC.CUSTOMERS.OH-ALL.A",,,,,,,,,,,,
"Ohio : all sectors","number of customers","ELEC.CUSTOMERS.OH-ALL.A",5525581,5515214,5510870,5505433,5502155,5508668,5520661,5532873,5554422,5582297,5613770,5633525
"Ohio : residential","number of customers","ELEC.CUSTOMERS.OH-RES.A",4891891,4880392,4877214,4874489,4869300,4875342,4882160,4892912,4911597,4936469,4964849,4980934
"Ohio : commercial","number of customers","ELEC.CUSTOMERS.OH-COM.A",612491,613732,612961,611231,613253,613966,619288,620806,623727,627163,630204,632793
"Ohio : industrial","number of customers","ELEC.CUSTOMERS.OH-IND.A",21197,21088,20692,19711,19600,19358,19210,19152,19096,18663,18716,19796
"Ohio : transportation","number of customers","ELEC.CUSTOMERS.OH-TRA.A",2,2,3,3,2,2,2,2,2,2,2,2
"Ohio : other","number of customers","ELEC.CUSTOMERS.OH-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Wisconsin","number of customers","ELEC.CUSTOMERS.WI-ALL.A",,,,,,,,,,,,
