"description","units","source key","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"California : transportation","number of customers","ELEC.CUSTOMERS.CA-TRA.A",487,494,13,13,12,13,13,13,15,15,12,12
"California : other","number of customers","ELEC.CUSTOMERS.CA-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Oregon","number of customers","ELEC.CUSTOMERS.OR-ALL.A",,,,,,,,,,,,
"Oregon : all sectors","number of customers","ELEC.CUSTOMERS.OR-ALL.A",1873561,1882151,1890217,1895753,1903526,1909379,1922309,1941331,1962945,1984090,2013003,2029437
"Oregon : residential","number of customers","ELEC.CUSTOMERS.OR-RES.A",1616596,1623386,1629075,1633546,1642442,1650799,1669122,1686974,1706621,1725884,1750239,1763783
"Oregon : commercial","number of customers","ELEC.CUSTOMERS.OR-COM.A",234527,236227,238449,238902,237780,235186,229828,229114,231693,233824,237942,240486
"Oregon : industrial","number of customers","ELEC.CUSTOMERS.OR-IND.A",22392,22482,22636,23300,23301,23391,23355,25242,24629,24381,24819,25165
"Oregon : transportation","number of customers","ELEC.CUSTOMERS.OR-TRA.A",45,55,58,4,4,4,4,2,2,2,2,2
"Oregon : other","number of customers","ELEC.CUSTOMERS.OR-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Washington","number of customers","ELEC.CUSTOMERS.WA-ALL.A",,,,,,,,,,,,
"Washington : all sectors","number of customers","ELEC.CUSTOMERS.WA-ALL.A",3164911,3188958,3206583,3219659,3236479,3268669,3297231,3340019,3382668,3446528,3488523,3542167
"Washington : residential","number of customers","ELEC.CUSTOMERS.WA-RES.A",2789187,2809301,2825279,2837627,2852758,2880006,2907700,2945759,2985799,3037672,3076868,3126191
"Washington : commercial","number of customers","ELEC.CUSTOMERS.WA-COM.A",349689,351004,353327,354181,356026,360850,359216,365092,367851,381028,384365,389144
"Washington : industrial","number of customers","ELEC.CUSTOMERS.WA-IND.A",26031,28649,27970,27845,27688,27808,30308,29162,29013,27822,27284,26827
"Washington : transportation","number of customers","ELEC.CUSTOMERS.WA-TRA.A",4,4,6,6,6,6,6,6,6,6,6,5
"Washington : other","number of customers","ELEC.CUSTOMERS.WA-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Pacific Noncontiguous","number of customers","ELEC.CUSTOMERS.PCN-ALL.A",,,,,,,,,,,,
"Pacific Noncontiguous : all sectors","number of customers","ELEC.CUSTOMERS.PCN-ALL.A",789269,792859,796882,801875,805880,811307,820293,823932,829984,835513,839605,844548
"Pacific Noncontiguous : residential","number of customers","ELEC.CUSTOMERS.PCN-RES.A",678492,682589,686523,691382,695014,699655,706602,710623,714199,718648,723789,727644
"Pacific Noncontiguous : commercial","number of customers","ELEC.CUSTOMERS.PCN-COM.A",108753,108216,108323,108545,108899,109644,111688,111270,113641,114708,113616,114957
"Pacific Noncontiguous : industrial","number of customers","ELEC.CUSTOMERS.PCN-IND.A",2024,2054,2036,1948,1967,2008,2003,2039,2144,2157,2200,1947
"Pacific Noncontiguous : transportation","number of customers","ELEC.CUSTOMERS.PCN-TRA.A",0,0,0,0,0,0,0,0,0,0,0,0
"Pacific Noncontiguous : other","number of customers","ELEC.CUSTOMERS.PCN-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Alaska","number of customers","ELEC.CUSTOMERS.AK-ALL.A",,,,,,,,,,,,
"Alaska : all sectors","number of customers","ELEC.CUSTOMERS.AK-ALL.A",317244,318459,321150,323602,325455,327760,333730,334222,337406,340542,342864,345495
"Alaska : residential","number of customers","ELEC.CUSTOMERS.AK-RES.A",268824,269746,271955,273851,275403,277270,281433,282283,283258,285696,287523,289292
"Alaska : commercial","number of customers","ELEC.CUSTOMERS.AK-COM.A",47069,47348,47844,48501,48790,49177,51009,50640,52805,53472,53954,55079
"Alaska : industrial","number of customers","ELEC.CUSTOMERS.AK-IND.A",1351,1366,1350,1249,1262,1313,1287,1299,1344,1374,1386,1124
"Alaska : transportation","number of customers","ELEC.CUSTOMERS.AK-TRA.A",0,0,0,0,0,0,0,0,0,0,0,0
"Alaska : other","number of customers","ELEC.CUSTOMERS.AK-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Hawaii","number of customers","ELEC.CUSTOMERS.HI-ALL.A",,,,,,,,,,,,
"Hawaii : all sectors","number of customers","ELEC.CUSTOMERS.HI-ALL.A",472025,474400,475732,478274,480426,483547,486563,489710,492578,494971,496741,499054
"Hawaii : residential","number of customers","ELEC.CUSTOMERS.HI-RES.A",409668,412843,414568,417531,419611,422385,425168,428340,430942,432952,436266,438352
"Hawaii : commercial","number of customers","ELEC.CUSTOMERS.HI-COM.A",61684,60868,60479,60044,60109,60467,60679,60631,60836,61236,59662,59878
"Hawaii : industrial","number of customers","ELEC.CUSTOMERS.HI-IND.A",673,689,685,699,705,695,716,740,801,783,814,823
"Hawaii : transportation","number of customers","ELEC.CUSTOMERS.HI-TRA.A",0,0,0,0,0,0,0,0,0,0,0,0
"Hawaii : other","number of customers","ELEC.CUSTOMERS.HI-OTH.A","--","--","--","--","--","--","--","--","--","--","--","--"
