"Receipts of fossil fuels by electricity plants for all sectors"
"https://www.eia.gov/electricity/data/browser/#/topic/12?agg=0,1&fuel=f007&geo=vvvvvvvvvvvvo&freq=A&start=2008&end=2019&ctype=linechart&ltype=pin&rtype=s&pin=&rse=0&maptype=0"
"Mon Feb 15 2021 12:52:56 GMT+0330 (Iran Standard Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Pennsylvania : bituminous coal","thousand tons","ELEC.RECEIPTS.BIT-PA-99.A",43660,38293,41774,37393,32865,32273,30437,24318,16416,16090,14698,14212
"Pennsylvania : subbituminous coal","thousand tons","ELEC.RECEIPTS.SUB-PA-99.A",1626,1387,1025,460,0,0,41,0,0,0,0,0
"Pennsylvania : lignite coal","thousand tons","ELEC.RECEIPTS.LIG-PA-99.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Pennsylvania : petroleum liquids","thousand barrels","ELEC.RECEIPTS.PEL-PA-99.A",1802,1365,867,914,415,488,1583,1006,502,426,1187,393
"Pennsylvania : petroleum coke","thousand tons","ELEC.RECEIPTS.PC-PA-99.A",126,100,10,50,106,105,111,107,0,0,0,0
"Pennsylvania : natural gas","thousand mcf","ELEC.RECEIPTS.NG-PA-99.A",152405,223209,254266,318821,376940,342138,366733,415319,479454,504185,515948,655615
"East North Central",,"ELEC.RECEIPTS..A",,,,,,,,,,,,
"East North Central : coal","thousand tons","ELEC.RECEIPTS.COW-ENC-99.A",244955,225363,225132,213663,182345,185713,196078,174849,137391,138487,135418,121130
"East North Central : bituminous coal","thousand tons","ELEC.RECEIPTS.BIT-ENC-99.A",105211,97693,93180,88818,77731,83996,91228,78115,68238,66089,61839,60981
"East North Central : subbituminous coal","thousand tons","ELEC.RECEIPTS.SUB-ENC-99.A",139184,127161,131193,124846,104615,101717,104850,96734,69152,72398,73578,60149
"East North Central : lignite coal","thousand tons","ELEC.RECEIPTS.LIG-ENC-99.A","--","--",0,"--","--","--","--",0,"--","--","--","--"
