"Receipts of fossil fuels by electricity plants for all sectors"
"https://www.eia.gov/electricity/data/browser/#/topic/12?agg=0,1&fuel=f007&geo=vvvvvvvvvvvvo&freq=A&start=2008&end=2019&ctype=linechart&ltype=pin&rtype=s&pin=&rse=0&maptype=0"
"Mon Feb 15 2021 12:52:56 GMT+0330 (Iran Standard Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Arizona : natural gas","thousand mcf","ELEC.RECEIPTS.NG-AZ-99.A",284700,262866,227195,184970,227210,219444,204092,247291,254500,224021,278303,348973
"Colorado",,"ELEC.RECEIPTS..A",,,,,,,,,,,,
"Colorado : coal","thousand tons","ELEC.RECEIPTS.COW-CO-99.A",18913,19274,18583,19754,18687,18056,17184,18272,15889,16284,14505,13935
"Colorado : bituminous coal","thousand tons","ELEC.RECEIPTS.BIT-CO-99.A",5846,9097,4922,4844,3628,3259,3722,3056,2420,1971,1177,1236
"Colorado : subbituminous coal","thousand tons","ELEC.RECEIPTS.SUB-CO-99.A",13066,10178,13661,14910,15059,14797,13463,15216,13469,14312,13327,12699
"Colorado : lignite coal","thousand tons","ELEC.RECEIPTS.LIG-CO-99.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Colorado : petroleum liquids","thousand barrels","ELEC.RECEIPTS.PEL-CO-99.A",68,39,173,66,10,4,9,6,14,5,14,5
"Colorado : petroleum coke","thousand tons","ELEC.RECEIPTS.PC-CO-99.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Colorado : natural gas","thousand mcf","ELEC.RECEIPTS.NG-CO-99.A",108215,114854,94173,85134,80575,81620,91190,87626,90645,90410,118141,122200
"Idaho",,"ELEC.RECEIPTS..A",,,,,,,,,,,,
"Idaho : coal","thousand tons","ELEC.RECEIPTS.COW-ID-99.A",198,177,221,134,0,0,0,0,0,0,0,0
"Idaho : bituminous coal","thousand tons","ELEC.RECEIPTS.BIT-ID-99.A",76,123,204,78,0,0,0,0,0,0,0,0
"Idaho : subbituminous coal","thousand tons","ELEC.RECEIPTS.SUB-ID-99.A",123,"NM",16,56,0,0,0,0,0,0,0,0
"Idaho : lignite coal","thousand tons","ELEC.RECEIPTS.LIG-ID-99.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Idaho : petroleum liquids","thousand barrels","ELEC.RECEIPTS.PEL-ID-99.A","NM","NM","NM","NM",0,0,0,0,0,0,0,0
"Idaho : petroleum coke","thousand tons","ELEC.RECEIPTS.PC-ID-99.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Idaho : natural gas","thousand mcf","ELEC.RECEIPTS.NG-ID-99.A",14069,14512,13648,10177,12738,22741,16111,24559,20974,19169,19987,25908
"Montana",,"ELEC.RECEIPTS..A",,,,,,,,,,,,
"Montana : coal","thousand tons","ELEC.RECEIPTS.COW-MT-99.A",12321,9901,11876,9984,8808,9262,9905,9997,9032,8759,7971,8917
"Montana : bituminous coal","thousand tons","ELEC.RECEIPTS.BIT-MT-99.A","--","--","--","--","--","--","--","--","--","--",0,0
"Montana : subbituminous coal","thousand tons","ELEC.RECEIPTS.SUB-MT-99.A",11756,9348,11287,9422,8560,8970,9621,9777,8776,8544,7731,8661
"Montana : lignite coal","thousand tons","ELEC.RECEIPTS.LIG-MT-99.A",316,307,310,343,248,292,285,221,256,215,239,256
"Montana : petroleum liquids","thousand barrels","ELEC.RECEIPTS.PEL-MT-99.A",65,48,35,50,36,15,26,15,24,19,25,18
"Montana : petroleum coke","thousand tons","ELEC.RECEIPTS.PC-MT-99.A",239,260,233,274,251,0,0,0,0,0,0,0
"Montana : natural gas","thousand mcf","ELEC.RECEIPTS.NG-MT-99.A",1423,1170,1131,4681,19,49,51,4978,3386,3157,2749,2780
"Nevada",,"ELEC.RECEIPTS..A",,,,,,,,,,,,
"Nevada : coal","thousand tons","ELEC.RECEIPTS.COW-NV-99.A",3963,4061,3734,3105,2215,2268,3924,1367,956,743,1167,1697
"Nevada : bituminous coal","thousand tons","ELEC.RECEIPTS.BIT-NV-99.A",2525,2239,2219,1743,926,482,2068,217,425,0,109,646
"Nevada : subbituminous coal","thousand tons","ELEC.RECEIPTS.SUB-NV-99.A",1438,1822,1514,1362,1289,1787,1857,1149,531,743,1059,1051
"Nevada : lignite coal","thousand tons","ELEC.RECEIPTS.LIG-NV-99.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Nevada : petroleum liquids","thousand barrels","ELEC.RECEIPTS.PEL-NV-99.A",31,32,24,29,40,34,27,30,22,18,20,25
"Nevada : petroleum coke","thousand tons","ELEC.RECEIPTS.PC-NV-99.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Nevada : natural gas","thousand mcf","ELEC.RECEIPTS.NG-NV-99.A",184246,196689,178549,165896,177682,163416,149459,188354,191152,178129,180683,173732
"New Mexico",,"ELEC.RECEIPTS..A",,,,,,,,,,,,
"New Mexico : coal","thousand tons","ELEC.RECEIPTS.COW-NM-99.A",15419,16535,14441,16318,14604,14153,11867,12403,10909,10608,7520,8495
"New Mexico : bituminous coal","thousand tons","ELEC.RECEIPTS.BIT-NM-99.A",6086,6588,5667,7138,5740,6116,6193,5780,6191,6267,3029,3128
"New Mexico : subbituminous coal","thousand tons","ELEC.RECEIPTS.SUB-NM-99.A",9332,9947,8774,9181,8864,8037,5674,6623,4718,4341,4490,5367
"New Mexico : lignite coal","thousand tons","ELEC.RECEIPTS.LIG-NM-99.A","--","--","--","--","--","--","--","--","--","--","--","--"
"New Mexico : petroleum liquids","thousand barrels","ELEC.RECEIPTS.PEL-NM-99.A",103,82,93,56,95,96,104,103,84,72,34,48
"New Mexico : petroleum coke","thousand tons","ELEC.RECEIPTS.PC-NM-99.A","--","--","--","--","--","--","--","--","--","--","--","--"
"New Mexico : natural gas","thousand mcf","ELEC.RECEIPTS.NG-NM-99.A",72539,70626,72385,75416,64840,64705,66088,65736,73286,68683,82962,89193
"Utah",,"ELEC.RECEIPTS..A",,,,,,,,,,,,
"Utah : coal","thousand tons","ELEC.RECEIPTS.COW-UT-99.A",18142,18097,14671,15214,13834,15043,14458,15203,13632,11981,10975,11481
"Utah : bituminous coal","thousand tons","ELEC.RECEIPTS.BIT-UT-99.A",17260,16452,14304,14347,12820,13875,13450,14438,12518,10845,10086,10839
"Utah : subbituminous coal","thousand tons","ELEC.RECEIPTS.SUB-UT-99.A",405,1227,0,444,569,738,555,325,716,724,484,240
"Utah : lignite coal","thousand tons","ELEC.RECEIPTS.LIG-UT-99.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Utah : petroleum liquids","thousand barrels","ELEC.RECEIPTS.PEL-UT-99.A",82,"NM",74,88,53,51,34,30,30,66,56,69
"Utah : petroleum coke","thousand tons","ELEC.RECEIPTS.PC-UT-99.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Utah : natural gas","thousand mcf","ELEC.RECEIPTS.NG-UT-99.A",58101,51057,50459,42436,43553,45088,54460,51263,54033,37307,55974,62078
"Wyoming",,"ELEC.RECEIPTS..A",,,,,,,,,,,,
"Wyoming : coal","thousand tons","ELEC.RECEIPTS.COW-WY-99.A",27938,26290,26890,26075,26821,26637,26457,26604,25158,24697,24104,22663
"Wyoming : bituminous coal","thousand tons","ELEC.RECEIPTS.BIT-WY-99.A",528,489,518,539,0,0,0,0,0,0,0,0
"Wyoming : subbituminous coal","thousand tons","ELEC.RECEIPTS.SUB-WY-99.A",27410,25800,26371,25536,26821,26637,26457,26604,25158,24697,24104,22663
"Wyoming : lignite coal","thousand tons","ELEC.RECEIPTS.LIG-WY-99.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Wyoming : petroleum liquids","thousand barrels","ELEC.RECEIPTS.PEL-WY-99.A",84,105,111,100,85,70,70,71,73,82,55,72
"Wyoming : petroleum coke","thousand tons","ELEC.RECEIPTS.PC-WY-99.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Wyoming : natural gas","thousand mcf","ELEC.RECEIPTS.NG-WY-99.A",10744,9403,8046,9501,5287,344,738,1131,194,1268,1796,3149
"Pacific Contiguous",,"ELEC.RECEIPTS..A",,,,,,,,,,,,
"Pacific Contiguous : coal","thousand tons","ELEC.RECEIPTS.COW-PCC-99.A",10236,8845,8442,7542,5375,6348,7602,5421,4880,4815,4833,6950
"Pacific Contiguous : bituminous coal","thousand tons","ELEC.RECEIPTS.BIT-PCC-99.A",1804,1631,1396,1573,935,793,771,671,634,625,600,555
"Pacific Contiguous : subbituminous coal","thousand tons","ELEC.RECEIPTS.SUB-PCC-99.A",8432,7214,7046,5969,4440,5554,6824,4623,4221,4136,4179,6394
"Pacific Contiguous : lignite coal","thousand tons","ELEC.RECEIPTS.LIG-PCC-99.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Pacific Contiguous : petroleum liquids","thousand barrels","ELEC.RECEIPTS.PEL-PCC-99.A","NM",737,"NM",550,96,40,35,23,20,35,20,28
"Pacific Contiguous : petroleum coke","thousand tons","ELEC.RECEIPTS.PC-PCC-99.A",840,778,575,503,8,0,0,0,0,0,0,0
"Pacific Contiguous : natural gas","thousand mcf","ELEC.RECEIPTS.NG-PCC-99.A",1264618,1228217,1152627,946362,917681,909950,904961,886660,767973,717877,748670,769534
"California",,"ELEC.RECEIPTS..A",,,,,,,,,,,,
"California : coal","thousand tons","ELEC.RECEIPTS.COW-CA-99.A",1804,1631,1396,1573,935,793,771,671,634,625,600,555
"California : bituminous coal","thousand tons","ELEC.RECEIPTS.BIT-CA-99.A",1804,1631,1396,1573,935,793,771,671,634,625,600,555
"California : subbituminous coal","thousand tons","ELEC.RECEIPTS.SUB-CA-99.A","--",0,0,0,0,0,0,"--","--","--","--","--"
"California : lignite coal","thousand tons","ELEC.RECEIPTS.LIG-CA-99.A","--","--","--","--","--","--","--","--","--","--","--","--"
"California : petroleum liquids","thousand barrels","ELEC.RECEIPTS.PEL-CA-99.A",363,320,97,"NM",50,0,0,0,0,0,0,0
"California : petroleum coke","thousand tons","ELEC.RECEIPTS.PC-CA-99.A",840,778,575,503,8,0,0,0,0,0,0,0
"California : natural gas","thousand mcf","ELEC.RECEIPTS.NG-CA-99.A",1060611,1017068,958095,838613,793427,739610,746402,720997,593164,556012,559705,528794
"Oregon",,"ELEC.RECEIPTS..A",,,,,,,,,,,,
"Oregon : coal","thousand tons","ELEC.RECEIPTS.COW-OR-99.A",2655,1552,2092,2352,1826,1597,2159,1476,994,877,764,1599
"Oregon : bituminous coal","thousand tons","ELEC.RECEIPTS.BIT-OR-99.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Oregon : subbituminous coal","thousand tons","ELEC.RECEIPTS.SUB-OR-99.A",2655,1552,2092,2352,1826,1597,2159,1476,994,877,764,1599
"Oregon : lignite coal","thousand tons","ELEC.RECEIPTS.LIG-OR-99.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Oregon : petroleum liquids","thousand barrels","ELEC.RECEIPTS.PEL-OR-99.A","NM",79,"NM","NM",14,6,15,8,3,14,0,4
"Oregon : petroleum coke","thousand tons","ELEC.RECEIPTS.PC-OR-99.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Oregon : natural gas","thousand mcf","ELEC.RECEIPTS.NG-OR-99.A",126636,115521,111878,64290,81111,100738,89256,85639,106814,94868,123735,143846
"Washington",,"ELEC.RECEIPTS..A",,,,,,,,,,,,
"Washington : coal","thousand tons","ELEC.RECEIPTS.COW-WA-99.A",5777,5662,4955,3617,2615,3957,4671,3273,3252,3313,3469,4795
"Washington : bituminous coal","thousand tons","ELEC.RECEIPTS.BIT-WA-99.A",0,0,"--","--","--","--","--","--",0,0,0,0
"Washington : subbituminous coal","thousand tons","ELEC.RECEIPTS.SUB-WA-99.A",5777,5662,4955,3617,2615,3957,4664,3146,3227,3259,3415,4795
"Washington : lignite coal","thousand tons","ELEC.RECEIPTS.LIG-WA-99.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Washington : petroleum liquids","thousand barrels","ELEC.RECEIPTS.PEL-WA-99.A",307,337,273,446,33,34,20,15,16,22,20,23
"Washington : petroleum coke","thousand tons","ELEC.RECEIPTS.PC-WA-99.A","--","--","--","--","--","--","--","--",0,0,0,0
"Washington : natural gas","thousand mcf","ELEC.RECEIPTS.NG-WA-99.A",77371,95628,82654,43459,43143,69603,69303,80024,67994,66997,65229,96895
"Pacific Noncontiguous",,"ELEC.RECEIPTS..A",,,,,,,,,,,,
"Pacific Noncontiguous : coal","thousand tons","ELEC.RECEIPTS.COW-PCN-99.A",1603,1705,1890,2040,667,728,786,765,1041,902,987,1011
"Pacific Noncontiguous : bituminous coal","thousand tons","ELEC.RECEIPTS.BIT-PCN-99.A",681,803,832,929,667,728,786,599,423,60,0,18
"Pacific Noncontiguous : subbituminous coal","thousand tons","ELEC.RECEIPTS.SUB-PCN-99.A",922,828,870,932,0,0,0,0,423,668,727,665
"Pacific Noncontiguous : lignite coal","thousand tons","ELEC.RECEIPTS.LIG-PCN-99.A","--","--","--","--","--","--",0,106,124,98,157,209
"Pacific Noncontiguous : petroleum liquids","thousand barrels","ELEC.RECEIPTS.PEL-PCN-99.A",17038,16799,16288,15456,11176,9474,9238,9423,8793,8917,8810,8937
"Pacific Noncontiguous : petroleum coke","thousand tons","ELEC.RECEIPTS.PC-PCN-99.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Pacific Noncontiguous : natural gas","thousand mcf","ELEC.RECEIPTS.NG-PCN-99.A",45278,40168,39137,44344,33135,24685,21071,15803,12979,15297,16636,15546
"Alaska",,"ELEC.RECEIPTS..A",,,,,,,,,,,,
"Alaska : coal","thousand tons","ELEC.RECEIPTS.COW-AK-99.A",922,901,1059,1111,0,0,0,166,195,173,260,327
"Alaska : bituminous coal","thousand tons","ELEC.RECEIPTS.BIT-AK-99.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Alaska : subbituminous coal","thousand tons","ELEC.RECEIPTS.SUB-AK-99.A",922,828,870,932,0,0,0,0,0,0,0,0
"Alaska : lignite coal","thousand tons","ELEC.RECEIPTS.LIG-AK-99.A","--","--","--","--","--","--",0,106,124,98,157,209
"Alaska : petroleum liquids","thousand barrels","ELEC.RECEIPTS.PEL-AK-99.A",1659,2075,1659,1658,965,0,0,17,9,1,14,27
"Alaska : petroleum coke","thousand tons","ELEC.RECEIPTS.PC-AK-99.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Alaska : natural gas","thousand mcf","ELEC.RECEIPTS.NG-AK-99.A",45278,40168,39137,44344,33135,24685,21071,15803,12979,15297,16636,15546
"Hawaii",,"ELEC.RECEIPTS..A",,,,,,,,,,,,
"Hawaii : coal","thousand tons","ELEC.RECEIPTS.COW-HI-99.A",681,803,832,929,667,728,786,599,846,728,727,683
"Hawaii : bituminous coal","thousand tons","ELEC.RECEIPTS.BIT-HI-99.A",681,803,832,929,667,728,786,599,423,60,0,18
"Hawaii : subbituminous coal","thousand tons","ELEC.RECEIPTS.SUB-HI-99.A",0,0,0,0,0,0,0,0,423,668,727,665
"Hawaii : lignite coal","thousand tons","ELEC.RECEIPTS.LIG-HI-99.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Hawaii : petroleum liquids","thousand barrels","ELEC.RECEIPTS.PEL-HI-99.A",15378,14724,14629,13798,10211,9474,9238,9406,8784,8916,8796,8910
"Hawaii : petroleum coke","thousand tons","ELEC.RECEIPTS.PC-HI-99.A","--","--","--","--","--","--","--","--","--","--","--","--"
"Hawaii : natural gas","thousand mcf","ELEC.RECEIPTS.NG-HI-99.A","--","--","--",0,"--","--","--","--","--","--","--","--"
